Project	Class Name	Class Author Count	Project Author Count	Revision Count	LOC	CBO	DIT	LCOM	NOC	RFC	WMC	LSR
wikipedia-map-reduce	LinkParserTest	2	5	3	5	3	1	0	0	2	2	0.41
wikipedia-map-reduce	TUnmodifiableDoubleCharMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TCharCharMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	CommutativeLinkMapReduce	1	5	1	12	3	1	0	0	1	1	0.41
wikipedia-map-reduce	TLongLinkedList	1	5	1	9	6	1	84	0	75	75	0.41
wikipedia-map-reduce	AssessmentTest	1	5	1	9	5	1	60	0	5	5	0.41
wikipedia-map-reduce	Version	1	5	1	6	0	1	0	0	2	2	0.41
wikipedia-map-reduce	TUnmodifiableLongByteMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TDoubleShortHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	THashMap	1	5	2	7	8	3	76	0	82	30	0.41
wikipedia-map-reduce	TIntShortMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	TFloatIntHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	ContributorEditGenerator	2	5	3	8	3	1	0	0	1	1	0.41
wikipedia-map-reduce	TSynchronizedCharLongMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TSynchronizedShortCollection	1	5	1	3	2	1	37	2	27	27	0.41
wikipedia-map-reduce	TLongCharHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	TDoubleIntMapDecorator	1	5	1	10	1	2	71	0	19	19	0.41
wikipedia-map-reduce	TUnmodifiableShortByteMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	THashPrimitiveIterator	1	5	1	8	2	1	33	175	5	5	0.41
wikipedia-map-reduce	TDoubleIntHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	CurrentRevision	1	5	2	3	2	1	33	0	3	3	0.41
wikipedia-map-reduce	TLongFloatHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	TestLzmaEncoder	1	5	1	26	2	1	0	0	1	1	0.41
wikipedia-map-reduce	TUnmodifiableByteFloatMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TCharCharHashMap	1	5	1	8	12	4	73	0	87	40	0.41
wikipedia-map-reduce	RevertAwareAllRevisionsInputFormat	1	5	2	6	1	2	100	0	2	2	0.41
wikipedia-map-reduce	TSynchronizedCharByteMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TSynchronizedIntDoubleMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	WmfDiffCreator	1	5	4	21	4	2	75	0	2	2	0.41
wikipedia-map-reduce	CategoryComparer	1	5	4	18	11	1	78	2	18	18	0.41
wikipedia-map-reduce	TObjectFloatMapDecorator	1	5	1	9	1	2	64	0	17	17	0.41
wikipedia-map-reduce	TFloatCharHashMap	1	5	1	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	TUnmodifiableByteCollection	1	5	1	1	2	1	76	2	25	25	0.41
wikipedia-map-reduce	SnapshotGenerator	1	5	2	17	3	2	50	0	2	2	0.41
wikipedia-map-reduce	TDecorators	1	5	1	2	154	1	0	0	78	78	0.41
wikipedia-map-reduce	diff_match_patch	1	5	1	36	4	1	95	0	43	43	0.41
wikipedia-map-reduce	TFloatLongHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	JSONParserStream	1	5	1	31	3	1	57	1	13	13	0.41
wikipedia-map-reduce	TDoubleLongHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	TObjectLongHashMap	1	5	2	8	13	3	76	0	91	39	0.41
wikipedia-map-reduce	TDoubleObjectMapDecorator	1	5	1	9	1	2	67	0	17	17	0.41
wikipedia-map-reduce	TUnmodifiableDoubleShortMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TSynchronizedDoubleObjectMap	1	5	1	3	8	1	60	0	30	30	0.41
wikipedia-map-reduce	TSynchronizedShortLongMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TCharHashSet	1	5	1	10	4	4	100	0	74	31	0.41
wikipedia-map-reduce	PreAllRevisionsTest	1	5	3	25	2	2	0	0	2	2	0.41
wikipedia-map-reduce	TIntDoubleHashMap	1	5	2	8	13	4	73	0	87	40	0.41
wikipedia-map-reduce	LinkMapReduceMain	1	5	1	17	4	1	0	0	1	1	0.41
wikipedia-map-reduce	TDoubleArrayStack	1	5	1	5	2	1	70	0	19	19	0.41
wikipedia-map-reduce	TLongHashSet	1	5	1	10	4	4	100	0	74	31	0.41
wikipedia-map-reduce	TObjectFloatCustomHashMap	1	5	1	8	14	4	76	0	100	40	0.41
wikipedia-map-reduce	UserUserTalkGenerator	2	5	3	8	3	1	0	0	1	1	0.41
wikipedia-map-reduce	TUnmodifiableIntSet	1	5	1	1	0	2	100	0	28	3	0.41
wikipedia-map-reduce	Graph	2	5	4	4	4	1	50	0	7	7	0.41
wikipedia-map-reduce	RunNameIdSubstitution	1	5	2	4	2	2	73	0	15	5	0.41
wikipedia-map-reduce	TSynchronizedIntCharMap	1	5	1	3	9	1	61	0	34	34	0.41
wikipedia-map-reduce	TSynchronizedLongSet	1	5	1	3	0	2	100	0	31	4	0.41
wikipedia-map-reduce	TObjectDoubleMapDecorator	1	5	1	9	1	2	64	0	17	17	0.41
wikipedia-map-reduce	TSynchronizedObjectLongMap	1	5	1	3	8	1	60	0	33	33	0.41
wikipedia-map-reduce	TCharObjectHashMap	1	5	1	7	13	4	82	0	79	36	0.41
wikipedia-map-reduce	TUnmodifiableShortSet	1	5	1	1	0	2	100	0	28	3	0.41
wikipedia-map-reduce	TUnmodifiableShortFloatMap	1	5	1	1	8	1	82	0	32	32	0.41
wikipedia-map-reduce	TCharCharHash	1	5	1	15	2	3	70	1	47	18	0.41
wikipedia-map-reduce	CategoryRecord	1	5	2	3	0	1	78	0	7	7	0.41
wikipedia-map-reduce	TLongArrayList	1	5	2	7	7	1	76	1	80	80	0.41
wikipedia-map-reduce	TFloatObjectHashMap	1	5	2	7	13	4	82	0	79	36	0.41
